CustID,inquiry_id,inquiry_date,inquiry_type,report_date,application_decision
C100287,Inq_161142,2014-03-26,instalment,2014-05-31,approved
C100287,Inq_346217,2014-06-28,revolving,2014-05-31,denied
C100287,Inq_797548,2014-03-27,revolving,2014-05-31,denied
C100287,Inq_555383,2014-07-10,revolving,2014-05-31,denied
C100287,Inq_803765,2014-06-19,mortgage,2014-05-31,approved
C100300,Inq_216261,2014-08-06,mortgage,2014-05-31,approved
C100300,Inq_973920,2014-05-16,revolving,2014-05-31,approved
C100360,Inq_773131,2014-05-28,revolving,2014-05-31,approved
C100360,Inq_754823,2014-07-11,instalment,2014-05-31,approved
C100360,Inq_273409,2014-07-11,revolving,2014-05-31,approved
C100360,Inq_650374,2014-07-03,revolving,2014-05-31,approved
C100504,Inq_167614,2014-06-08,mortgage,2014-05-31,approved
C100504,Inq_630230,2014-07-09,mortgage,2014-05-31,approved
C100504,Inq_460856,2014-05-22,revolving,2014-05-31,approved
C100504,Inq_986650,2014-05-24,mortgage,2014-05-31,approved
C100504,Inq_126071,2014-08-14,revolving,2014-05-31,approved
C100595,Inq_292514,2014-03-29,revolving,2014-05-31,approved
C100595,Inq_406617,2014-06-07,mortgage,2014-05-31,approved
C100595,Inq_935772,2014-03-27,revolving,2014-05-31,approved
C100595,Inq_566992,2014-04-18,revolving,2014-05-31,approved
C100595,Inq_236163,2014-06-10,revolving,2014-05-31,approved
C100690,Inq_717741,2014-03-12,revolving,2014-05-31,approved
C100690,Inq_844228,2014-03-17,revolving,2014-05-31,approved
C100690,Inq_113240,2014-04-26,mortgage,2014-05-31,approved
C100690,Inq_574488,2014-05-28,revolving,2014-05-31,approved
C100690,Inq_240603,2014-05-26,instalment,2014-05-31,approved
C100690,Inq_436107,2014-05-27,mortgage,2014-05-31,approved
C100777,Inq_560030,2014-08-30,revolving,2014-05-31,approved
C100777,Inq_778344,2014-08-20,revolving,2014-05-31,approved
C100777,Inq_553696,2014-07-22,revolving,2014-05-31,approved
C100777,Inq_312886,2014-06-02,rental_application,2014-05-31,denied
C100777,Inq_117395,2014-07-01,revolving,2014-05-31,approved
C100777,Inq_953633,2014-07-31,rental_application,2014-05-31,approved
C100777,Inq_879283,2014-05-17,mortgage,2014-05-31,approved
C100777,Inq_295941,2014-06-08,revolving,2014-05-31,denied
C100824,Inq_153833,2014-04-20,revolving,2014-05-31,approved
C100824,Inq_205466,2014-06-16,rental_application,2014-05-31,approved
C100824,Inq_425068,2014-06-05,revolving,2014-05-31,denied
C100824,Inq_451785,2014-06-01,revolving,2014-05-31,approved
C100824,Inq_875918,2014-07-09,revolving,2014-05-31,denied
C100824,Inq_981578,2014-05-11,revolving,2014-05-31,denied
C100824,Inq_618602,2014-08-07,revolving,2014-05-31,denied
C100824,Inq_791602,2014-08-05,instalment,2014-05-31,approved
C100899,Inq_240747,2014-07-10,revolving,2014-05-31,approved
C100899,Inq_130531,2014-06-29,revolving,2014-05-31,approved
C100899,Inq_638147,2014-07-06,revolving,2014-05-31,denied
C100899,Inq_580641,2014-04-29,rental_application,2014-05-31,approved
C100899,Inq_829864,2014-06-11,instalment,2014-05-31,approved
C100899,Inq_579524,2014-04-15,rental_application,2014-05-31,approved
C100972,Inq_331506,2014-06-18,revolving,2014-05-31,denied
C101085,Inq_383419,2014-07-02,revolving,2014-05-31,approved
C101085,Inq_460583,2014-08-17,mortgage,2014-05-31,approved
C101085,Inq_234765,2014-05-01,rental_application,2014-05-31,approved
C101085,Inq_366313,2014-05-05,instalment,2014-05-31,approved
C101094,Inq_260981,2014-07-14,revolving,2014-05-31,approved
C101094,Inq_663501,2014-05-27,rental_application,2014-05-31,denied
C101094,Inq_227570,2014-06-18,revolving,2014-05-31,approved
C101132,Inq_830498,2014-05-08,rental_application,2014-05-31,denied
C101132,Inq_866675,2014-06-07,revolving,2014-05-31,approved
C101132,Inq_829433,2014-05-19,revolving,2014-05-31,approved
C101132,Inq_445459,2014-03-29,mortgage,2014-05-31,denied
C101132,Inq_236780,2014-06-07,revolving,2014-05-31,denied
C101182,Inq_828838,2014-04-19,revolving,2014-05-31,denied
C101182,Inq_518477,2014-05-28,revolving,2014-05-31,approved
C101182,Inq_593852,2014-04-27,rental_application,2014-05-31,denied
C101182,Inq_356846,2014-06-20,instalment,2014-05-31,approved
C101251,Inq_699416,2014-04-28,revolving,2014-05-31,approved
C101251,Inq_208005,2014-05-03,revolving,2014-05-31,approved
C101251,Inq_574656,2014-06-02,revolving,2014-05-31,approved
C101251,Inq_398822,2014-05-18,revolving,2014-05-31,denied
C101251,Inq_585243,2014-07-08,instalment,2014-05-31,approved
C101251,Inq_343258,2014-04-13,instalment,2014-05-31,approved
C101564,Inq_485969,2014-04-13,revolving,2014-05-31,denied
C101564,Inq_457335,2014-04-28,revolving,2014-05-31,denied
C101564,Inq_724738,2014-05-21,revolving,2014-05-31,approved
C101564,Inq_445707,2014-05-29,revolving,2014-05-31,approved
C101564,Inq_457373,2014-05-15,revolving,2014-05-31,approved
C101564,Inq_681314,2014-07-11,revolving,2014-05-31,approved
C101564,Inq_388521,2014-04-27,instalment,2014-05-31,approved
C101572,Inq_554821,2014-06-20,revolving,2014-05-31,denied
C101572,Inq_230768,2014-05-16,revolving,2014-05-31,approved
C101572,Inq_180763,2014-08-12,revolving,2014-05-31,approved
C101572,Inq_599997,2014-06-30,rental_application,2014-05-31,denied
C101572,Inq_627756,2014-05-26,mortgage,2014-05-31,denied
C101574,Inq_398059,2014-07-10,revolving,2014-05-31,approved
C101574,Inq_731858,2014-04-28,revolving,2014-05-31,approved
C101574,Inq_171918,2014-04-26,revolving,2014-05-31,approved
C101621,Inq_181462,2014-04-25,revolving,2014-05-31,approved
C101621,Inq_886108,2014-07-23,revolving,2014-05-31,approved
C101621,Inq_452232,2014-07-30,revolving,2014-05-31,approved
