CustID,account_id,account_type,creditor,account_owner,int_rate,credit_limit,balance,utilization,open_date,closed_date,report_date,current_delq,worst_dlq
C100287,A588728,revolving,Bank of XYZ,individual,0.093356778,1300,87.42774262,0.06725211,10/8/13,,5/29/14,<30DPD,<30DPD
C100287,A100608,mortgage,ABC Bank,individual,0.060862865,,,,5/4/12,,5/29/14,30-60DPD,30-60DPD
C100287,A312807,revolving,Lord_P2P,joint,0.091998923,2400,696.2512748,0.290104698,8/24/13,,5/31/14,<30DPD,<30DPD
C100287,A204108,revolving,Cooperative Capital,individual,0.089342371,3200,0,0,9/5/13,,5/31/14,<30DPD,<30DPD
C100300,A572326,revolving,ABC Bank,individual,0.088886299,2700,1247.553059,0.462056689,1/8/14,,5/29/14,<30DPD,<30DPD
C100300,A599763,revolving,Bank of XYZ,individual,0.079302875,6400,3248.967603,0.507651188,12/23/13,,5/29/14,<30DPD,<30DPD
C100300,A319339,revolving,ABC Bank,individual,0.093894164,6300,1623.447885,0.25769014,9/5/12,,5/31/14,<30DPD,<30DPD
C100504,A989490,revolving,Bank of XYZ,individual,0.095891822,7800,1932.110514,0.247706476,8/22/13,,5/30/14,<30DPD,<30DPD
C100504,A486213,mortgage,ABC Bank,individual,0.058725623,,,,6/30/06,,5/30/14,<30DPD,<30DPD
C100504,A526459,revolving,TrendingClub,individual,0.08903619,6400,4782.209429,0.747220223,2/13/14,,5/31/14,<30DPD,<30DPD
C100504,A995916,revolving,Cooperative Capital,individual,0.088201696,4200,3985.104592,0.948834427,4/19/13,,5/30/14,<30DPD,>90DPD
C100595,A60053,revolving,TrendingClub,individual,0.087361915,7900,4209.472285,0.532844593,1/10/14,,5/30/14,<30DPD,<30DPD
C100595,A620479,revolving,TrendingClub,individual,0.096207094,5400,5130,0.95,11/23/13,,5/30/14,>90DPD,>90DPD
C100690,A684914,mortgage,Cooperative Capital,individual,0.06057701,,,,1/25/05,,5/31/14,30-60DPD,30-60DPD
C100777,A482366,revolving,ABC Bank,individual,0.089784773,5300,348.4530629,0.065745861,4/18/13,,5/30/14,<30DPD,<30DPD
C100777,A172478,revolving,ABC Bank,individual,0.091701894,6200,1600.663291,0.258171498,1/4/14,,5/29/14,<30DPD,<30DPD
C100824,A737974,revolving,ABC Bank,individual,0.091382621,1600,510.4749363,0.319046835,4/16/13,,5/31/14,>90DPD,>90DPD
