CustID,app_date,is_bad,annual_income,residential_status,loan_purpose
C100287,7/11/14,0,86100,mortgage,auto
C100300,9/12/14,0,87500,mortgage,personal loan
C100360,7/16/14,0,38500,rent,personal loan
C100504,9/16/14,1,36400,rent,education
C100595,7/6/14,0,46600,mortgage,personal loan
C100690,7/2/14,0,116800,rent,auto
C100777,9/1/14,0,31900,rent,business
C100824,8/7/14,0,26900,rent,auto
C100899,7/17/14,0,35000,house_owner,personal loan
C100972,7/16/14,0,31500,rent,personal loan
C101085,8/22/14,0,38100,mortgage,personal loan
C101094,8/10/14,0,32600,house_owner,business
C101132,7/16/14,0,10600,rent,personal loan
C101182,7/25/14,1,119100,house_owner,business
C101251,7/27/14,0,50900,house_owner,personal loan
C101564,7/20/14,0,42500,mortgage,personal loan
C101572,8/20/14,0,9200,rent,business
C101574,8/7/14,0,32300,rent,business
C101621,8/7/14,0,29900,house_owner,personal loan
C101938,9/20/14,0,43100,rent,business
C102275,8/26/14,1,91300,mortgage,business
C102291,9/24/14,0,33200,rent,business
C102380,9/10/14,1,24100,rent,personal loan
C102503,9/1/14,0,39300,rent,personal loan
C102576,7/4/14,0,30000,rent,debt_consolidation
C102655,8/31/14,0,46500,rent,auto
C102673,8/1/14,1,34900,rent,personal loan
C102692,8/13/14,0,43900,rent,business
C102708,7/11/14,0,16100,rent,auto
C102767,8/8/14,0,15400,rent,personal loan
C102888,7/2/14,0,18300,mortgage,business
C103101,7/15/14,0,87800,house_owner,auto
C103146,7/30/14,1,27200,house_owner,business
C103207,7/29/14,0,80200,rent,auto
C103235,9/28/14,0,19300,rent,business
C103363,9/19/14,0,89400,rent,personal loan
C103387,9/18/14,0,66400,mortgage,personal loan
C103604,7/13/14,0,36500,rent,personal loan
C103734,8/21/14,1,26900,rent,personal loan
C103805,8/23/14,0,8000,rent,business
C103883,8/9/14,0,93200,rent,education
C103954,9/5/14,0,26900,rent,personal loan
C103955,8/10/14,1,13200,mortgage,personal loan
C104061,7/14/14,0,51100,rent,business
C104077,8/28/14,0,23000,rent,debt_consolidation
C104149,7/9/14,0,109500,house_owner,debt_consolidation
C104166,7/8/14,0,59000,mortgage,auto
C104222,8/20/14,0,36500,rent,personal loan
C104287,8/9/14,0,60300,rent,personal loan
C104333,7/31/14,0,98000,mortgage,auto
C104505,9/25/14,0,21800,rent,education
C104632,8/21/14,0,80100,mortgage,business
C104699,7/1/14,0,47300,mortgage,business
C104721,8/6/14,0,201500,rent,debt_consolidation
C104860,8/10/14,0,33400,rent,auto
C104873,8/10/14,0,71600,rent,personal loan
C104887,7/6/14,0,24700,mortgage,business
C104917,7/24/14,1,71000,rent,debt_consolidation
C104969,9/28/14,0,37500,mortgage,personal loan
C104978,8/21/14,0,32200,house_owner,auto
C104996,7/4/14,1,123200,rent,personal loan
C105310,7/31/14,0,1000,rent,auto
C105323,8/11/14,0,8100,rent,personal loan
C105644,7/7/14,0,25800,rent,business
C105780,9/27/14,0,53800,house_owner,business
C105796,9/12/14,0,19900,rent,personal loan
C105801,9/24/14,1,41900,rent,business
C105844,8/13/14,0,27300,rent,business
C105874,7/26/14,0,77600,house_owner,personal loan
C105877,7/2/14,0,61100,mortgage,business
C106026,9/11/14,0,32400,mortgage,education
C106030,9/21/14,0,15400,rent,debt_consolidation
C106347,7/29/14,0,1000,mortgage,business
C106374,7/19/14,0,101800,mortgage,personal loan
C106405,7/13/14,0,75200,rent,debt_consolidation
C106538,9/22/14,0,48000,rent,debt_consolidation
C106549,8/30/14,0,132600,mortgage,education
C106702,7/29/14,1,27300,rent,personal loan
C106823,8/7/14,0,62400,mortgage,business
C106889,7/11/14,0,30500,rent,auto
C106996,8/6/14,0,68100,mortgage,auto
C107020,8/29/14,0,28500,rent,personal loan
C107368,7/27/14,0,101200,house_owner,personal loan
C107377,9/1/14,0,6400,rent,personal loan
C107529,8/21/14,1,44700,rent,personal loan
C107549,9/9/14,0,82500,mortgage,debt_consolidation
C107584,8/30/14,0,45500,house_owner,business
C107649,9/4/14,0,60400,rent,business
C107656,9/27/14,0,16500,rent,education
C107697,7/27/14,1,1000,rent,debt_consolidation
C107699,7/6/14,0,19800,rent,education
C108014,7/17/14,0,19200,rent,business
C108053,8/31/14,0,327900,mortgage,auto
C108115,7/13/14,0,56000,rent,education
C108230,8/11/14,1,7700,rent,debt_consolidation
C108436,7/14/14,1,168300,house_owner,business
C108500,7/27/14,1,24400,rent,personal loan
C108842,7/20/14,0,30400,house_owner,business
C108890,9/17/14,0,61100,rent,debt_consolidation
C108904,8/12/14,0,14300,rent,business
C108939,7/19/14,0,26000,mortgage,personal loan
C109035,7/26/14,0,42800,rent,personal loan
C109058,9/18/14,0,69900,mortgage,business
C109129,7/31/14,0,35900,rent,personal loan
C109142,7/5/14,0,31000,rent,auto
C109145,8/5/14,1,58300,mortgage,business
C109165,7/10/14,0,45400,rent,education
C109194,8/16/14,0,18400,rent,personal loan
C109195,8/10/14,0,14000,rent,debt_consolidation
C109293,9/17/14,0,30900,rent,debt_consolidation
C109435,9/19/14,0,53400,rent,debt_consolidation
C109561,9/6/14,0,26600,house_owner,auto
C109723,9/2/14,0,62700,rent,personal loan
C109725,8/12/14,0,59300,house_owner,personal loan
C109966,8/12/14,0,7400,rent,business
C110077,9/13/14,1,18700,rent,auto
C110127,9/24/14,0,87700,rent,auto
C110131,8/1/14,0,59000,house_owner,personal loan
C110214,8/22/14,0,54300,rent,business
C110444,8/26/14,0,23700,rent,debt_consolidation
C110536,9/17/14,0,27500,mortgage,personal loan
C110548,9/18/14,0,43400,rent,education
C110810,9/26/14,1,24600,rent,personal loan
C110860,9/12/14,0,14400,rent,debt_consolidation
C110904,9/25/14,0,28200,rent,debt_consolidation
C110977,9/9/14,0,31200,rent,personal loan
C111017,9/25/14,0,169000,house_owner,business
C112000,9/18/14,0,28600,rent,debt_consolidation
C112129,8/4/14,0,98200,mortgage,business
C112240,9/26/14,0,84700,house_owner,education
C112242,7/5/14,0,54500,mortgage,business
C112274,7/29/14,0,29800,rent,business
C112482,8/17/14,0,118000,rent,education
C112593,8/24/14,0,81600,house_owner,business
C112654,8/20/14,0,8500,rent,personal loan
C112670,7/16/14,0,36700,rent,business
C112774,9/28/14,0,81600,mortgage,business
C112814,9/1/14,0,77700,rent,personal loan
C112854,7/18/14,0,28100,mortgage,personal loan
C112930,7/30/14,0,66200,house_owner,personal loan
C113025,8/28/14,0,68100,rent,personal loan
C113293,7/13/14,0,77800,mortgage,debt_consolidation
C113344,9/16/14,0,7200,rent,debt_consolidation
C113369,9/13/14,0,39800,mortgage,auto
C113372,8/9/14,0,78300,house_owner,business
C113444,9/24/14,0,73700,mortgage,business
C113668,8/4/14,0,11800,rent,business
C113830,8/1/14,0,29300,rent,personal loan
C113931,7/8/14,0,59800,mortgage,personal loan
C113961,9/28/14,0,139300,mortgage,business
C113989,7/28/14,0,68100,house_owner,personal loan
C114003,7/30/14,0,76100,mortgage,personal loan
C114016,8/15/14,0,50000,rent,debt_consolidation
C114131,8/3/14,0,5100,rent,education
C114511,8/4/14,0,25800,mortgage,education
C114784,8/17/14,0,73700,rent,business
C114982,7/16/14,0,39400,rent,debt_consolidation
C115060,7/3/14,0,14800,rent,auto
C115094,7/4/14,0,74300,rent,business
C115272,7/11/14,0,29000,rent,debt_consolidation
C115279,9/9/14,0,83000,rent,personal loan
C115337,7/14/14,0,40500,house_owner,debt_consolidation
C115390,7/13/14,0,10400,mortgage,personal loan
C115420,9/10/14,1,32900,rent,education
C115505,9/10/14,0,162800,house_owner,business
C115618,8/25/14,0,24100,rent,personal loan
C115751,7/3/14,0,31200,house_owner,auto
C115754,9/3/14,0,53800,rent,business
C115781,8/12/14,0,19200,rent,business
C115803,7/10/14,0,33600,house_owner,personal loan
C116110,9/23/14,0,119200,rent,business
C116169,9/18/14,0,30200,rent,personal loan
C116188,9/25/14,0,58600,rent,business
C116221,8/18/14,0,30400,house_owner,education
C116285,7/13/14,1,73300,mortgage,personal loan
C116342,8/17/14,0,9700,rent,business
C116450,7/30/14,0,22400,rent,debt_consolidation
C116500,8/1/14,1,58300,mortgage,personal loan
C116622,7/8/14,0,1000,rent,debt_consolidation
C116647,9/9/14,0,21100,rent,business
C116783,8/2/14,1,28700,rent,business
C116835,9/15/14,0,117600,mortgage,auto
C116881,8/7/14,1,50300,mortgage,business
C116886,9/14/14,0,7200,mortgage,auto
C117136,9/1/14,0,47500,mortgage,debt_consolidation
C117297,8/7/14,1,37600,rent,personal loan
C117353,7/18/14,0,88200,mortgage,business
C117426,7/11/14,0,58800,rent,auto
C117594,7/27/14,0,14000,rent,education
C117636,9/21/14,1,78400,mortgage,personal loan
C117777,9/27/14,1,42900,mortgage,personal loan
C117912,7/5/14,1,68400,mortgage,business
C117962,7/12/14,0,43700,house_owner,personal loan
C118000,7/15/14,0,129900,mortgage,personal loan
C118049,8/15/14,0,43900,rent,personal loan
C118135,9/4/14,0,43700,mortgage,business
C118254,8/2/14,0,86700,house_owner,auto
C118269,7/25/14,0,34000,mortgage,debt_consolidation
C118419,8/14/14,0,47800,rent,education
C118447,8/30/14,0,32300,mortgage,business
C118517,8/29/14,0,35400,rent,debt_consolidation
C118671,9/25/14,0,6000,rent,education
C118704,8/25/14,0,54800,house_owner,auto
C118707,7/10/14,0,66300,mortgage,business
C118770,9/27/14,1,51900,rent,auto
C118776,7/17/14,1,38900,rent,personal loan
C118863,9/27/14,0,45700,mortgage,auto
C119117,7/21/14,0,41300,house_owner,personal loan
C119187,7/14/14,0,114400,rent,business
C119423,7/22/14,0,93200,mortgage,education
C119559,9/25/14,0,1000,rent,auto
C119674,7/14/14,0,3000,rent,business
C119750,8/26/14,0,23000,rent,auto
C119920,9/25/14,0,28200,rent,personal loan
C120074,7/2/14,0,63900,house_owner,auto
C120105,8/7/14,0,23700,rent,debt_consolidation
C120398,9/26/14,0,24100,mortgage,business
C120425,9/26/14,0,35600,mortgage,auto
C120475,7/24/14,0,76700,mortgage,personal loan
C120628,7/21/14,0,87900,mortgage,business
C120880,8/21/14,0,124200,rent,personal loan
C120919,7/8/14,0,38900,mortgage,debt_consolidation
C120949,7/1/14,0,69000,rent,business
C121125,8/3/14,0,51500,mortgage,debt_consolidation
C121211,9/5/14,0,37100,rent,personal loan
C121276,7/17/14,0,55700,rent,personal loan
C121408,9/15/14,0,18700,rent,education
C121449,7/4/14,0,11900,rent,personal loan
C121691,8/30/14,0,57400,house_owner,personal loan
C121964,8/4/14,0,2600,mortgage,personal loan
C122067,9/7/14,0,36300,rent,personal loan
C122085,9/9/14,0,35100,rent,debt_consolidation
C122094,7/4/14,0,24100,mortgage,personal loan
C122138,7/28/14,0,4400,rent,personal loan
C122211,7/15/14,0,36000,house_owner,personal loan
C122221,9/28/14,0,55500,rent,personal loan
C122243,9/27/14,0,8900,house_owner,business
C122379,9/22/14,0,8900,mortgage,education
C122444,8/4/14,0,37600,rent,personal loan
C122537,8/14/14,1,14400,rent,debt_consolidation
C122598,8/1/14,0,52800,mortgage,auto
C122790,8/2/14,0,12000,rent,auto
C122809,9/14/14,0,17000,rent,business
C122863,7/20/14,0,53000,house_owner,personal loan
C122947,8/25/14,0,72200,rent,personal loan
C123007,7/31/14,0,102400,mortgage,debt_consolidation
C123047,9/4/14,0,48500,mortgage,personal loan
C123088,8/15/14,0,59900,mortgage,education
C123219,7/26/14,0,9100,house_owner,education
C123492,9/7/14,0,46100,rent,auto
C123595,7/2/14,1,7600,mortgage,business
C123795,9/15/14,0,7200,rent,personal loan
C123885,7/12/14,0,53800,rent,business
C123985,8/20/14,0,141400,mortgage,personal loan
C124137,8/19/14,0,83100,house_owner,auto
C124211,7/30/14,0,14400,house_owner,business
C124631,8/26/14,0,20700,mortgage,business
C124710,9/16/14,0,41300,mortgage,personal loan
C124715,7/8/14,0,111200,mortgage,personal loan
C124720,8/25/14,0,86400,house_owner,business
C124732,7/15/14,0,106000,house_owner,auto
C124848,9/4/14,0,68000,house_owner,business
C124886,9/23/14,0,51600,house_owner,personal loan
C124901,7/10/14,0,29100,rent,personal loan
C124940,7/5/14,0,120900,rent,personal loan
C124993,7/19/14,1,31300,rent,debt_consolidation
C125076,9/4/14,0,66700,rent,debt_consolidation
C125102,8/4/14,0,72500,house_owner,personal loan
C125153,8/5/14,0,60400,rent,personal loan
C125196,8/29/14,0,9300,rent,personal loan
C125247,8/17/14,0,8200,rent,personal loan
C125266,9/23/14,0,120300,mortgage,education
C125537,8/8/14,0,17900,rent,debt_consolidation
C125660,7/8/14,1,32800,house_owner,auto
C125726,8/3/14,0,83200,rent,personal loan
C125794,7/3/14,0,30800,house_owner,auto
C125801,8/9/14,0,22400,rent,education
C125857,8/16/14,0,49500,rent,auto
C125871,9/23/14,0,100500,mortgage,education
C126019,8/22/14,0,43800,house_owner,business
C126225,7/2/14,0,32000,rent,debt_consolidation
C126245,7/2/14,0,34400,rent,personal loan
C126389,7/20/14,0,47800,mortgage,education
C126403,7/28/14,0,22400,rent,education
C126463,9/23/14,0,64200,mortgage,personal loan
C126672,9/9/14,0,12600,rent,auto
C126887,8/1/14,1,38500,rent,personal loan
C126892,7/4/14,1,56400,rent,personal loan
C126925,7/9/14,0,137300,mortgage,auto
C126987,8/5/14,0,22800,rent,education
C127305,7/5/14,0,74200,rent,auto
C127335,9/11/14,1,21400,rent,personal loan
C127384,8/27/14,0,211800,house_owner,personal loan
C127394,8/10/14,0,25900,mortgage,auto
C127431,7/31/14,0,27200,rent,business
C127446,9/18/14,0,34900,rent,personal loan
C127483,7/16/14,0,73100,mortgage,personal loan
C127505,7/9/14,0,21400,rent,debt_consolidation
C127538,8/8/14,0,37900,mortgage,personal loan
C127618,7/13/14,0,82400,mortgage,business
C127743,7/8/14,0,4900,mortgage,personal loan
C127762,8/9/14,0,56300,rent,personal loan
C127783,9/28/14,0,30000,house_owner,debt_consolidation
C127830,9/17/14,1,11600,rent,auto
C128123,7/24/14,0,22300,rent,auto
C128199,8/16/14,0,14200,rent,personal loan
C128458,7/6/14,0,60400,house_owner,business
C128477,8/20/14,0,27000,rent,debt_consolidation
C128599,8/7/14,0,44100,house_owner,debt_consolidation
C128769,8/30/14,0,15600,house_owner,auto
C128854,8/20/14,0,67800,rent,debt_consolidation
C128867,8/28/14,0,44300,rent,personal loan
C128904,8/1/14,0,2100,rent,personal loan
C129090,8/13/14,0,22000,rent,business
C129114,8/12/14,1,98800,mortgage,education
